batch,day,weight
Batch #1,62,0.93
Batch #1,69,1.37
Batch #1,78,2.32
Batch #1,87,4.11
Batch #1,94,5.59
Batch #1,101,8.66
Batch #1,104,8.85
Batch #1,112,10.6
Batch #1,122,15.89
Batch #1,129,19.45
Batch #1,136,26.98
Batch #1,143,32.84
Batch #1,150,48.6
Batch #1,154,67.4
Batch #1,163,88.12
Batch #1,171,130.3
Batch #1,178,162.2
Batch #1,185,167.6
Batch #1,192,204.0
Batch #1,199,241.0
Batch #1,206,263.8
Batch #1,213,290.0
Batch #1,220,308.2
Batch #1,227,350.0
Batch #2,51,0.44
Batch #2,58,0.72
Batch #2,61,0.99
Batch #2,72,2.0
Batch #2,79,3.23
Batch #2,86,5.66
Batch #2,93,9.44
Batch #2,99,9.17
Batch #2,107,12.92
Batch #2,114,17.27
Batch #2,121,29.47
Batch #2,128,36.5
Batch #2,135,44.8
Batch #2,142,57.7
Batch #2,149,68.5
Batch #2,156,116.4
Batch #2,163,130.0
Batch #2,170,173.5
Batch #2,177,205.0
Batch #2,184,225.0
Batch #2,198,291.8
Batch #2,212,354.0
Batch #2,218,387.0
Batch #3,45,0.435
Batch #3,51,0.63
Batch #3,58,1.05
Batch #3,65,1.3
Batch #3,72,2.2
Batch #3,79,4.17
Batch #3,86,6.66
Batch #3,93,10.31
Batch #3,100,17.5
Batch #3,107,21.7
Batch #3,114,28.0
Batch #3,128,33.9
Batch #3,135,45.9
Batch #3,142,67.7
Batch #3,148,84.8
Batch #3,156,105.0
Batch #3,163,130.8
Batch #3,170,156.6
Batch #3,177,220.6
Batch #3,184,271.5
Batch #3,191,341.0
Batch #3,198,366.0
Batch #3,204,348.6
Batch #3,212,396.7
Batch #3,219,450.0
Batch #4,45,0.3
Batch #4,52,0.61
Batch #4,73,3.4
Batch #4,80,5.7
Batch #4,87,7.9
Batch #4,93,11.5
Batch #4,98,14.86
Batch #4,101,15.26
Batch #4,108,20.48
Batch #4,115,33.3
Batch #4,123,48.6
Batch #4,129,57.3
Batch #4,136,83.1
Batch #4,143,96.6
Batch #4,149,133.2
Batch #4,157,148.9
Batch #4,164,178.5
Batch #4,171,208.0
Batch #4,178,237.3
Batch #4,185,303.8
Batch #4,192,348.0
Batch #4,199,387.0
Batch #4,206,381.4
Batch #4,213,378.0
Batch #4,220,400.0
Batch #4,228,450.0
Batch #5,50,0.54
Batch #5,57,0.89
Batch #5,64,1.63
Batch #5,72,2.4
Batch #5,78,3.5
Batch #5,85,4.55
Batch #5,92,5.6
Batch #5,98,9.95
Batch #5,106,13.87
Batch #5,113,19.19
Batch #5,120,28.07
Batch #5,124,33.9
Batch #5,136,55.0
Batch #5,141,61.2
Batch #5,148,82.1
Batch #5,155,99.4
Batch #5,162,147.3
Batch #5,169,168.0
Batch #5,177,222.0
Batch #5,183,254.5
Batch #5,191,297.8
Batch #5,197,354.6
Batch #5,204,396.5
Batch #5,211,410.5
Batch #5,218,430.0
Batch #5,226,335.0
Batch #5,232,315.0
Batch #5,239,321.5
Batch #5,243,322.0
Batch #6,62,0.248
Batch #6,69,0.62
Batch #6,76,0.96
Batch #6,83,1.76
Batch #6,90,2.74
Batch #6,98,4.57
Batch #6,104,8.08
Batch #6,111,11.6
Batch #6,118,15.6
Batch #6,121,18.3
Batch #6,125,18.5
Batch #6,132,30.42
Batch #6,139,41.6
Batch #6,147,52.2
Batch #6,153,71.4
Batch #6,160,105.2
Batch #6,167,121.0
Batch #6,168,143.7
Batch #6,174,162.0
Batch #6,181,173.5
Batch #6,188,191.0
Batch #6,202,265.7
Batch #7,52,0.224
Batch #7,59,0.43
Batch #7,66,1.03
Batch #7,73,1.1
Batch #7,80,2.09
Batch #7,88,3.06
Batch #7,94,3.98
Batch #7,101,4.98
Batch #7,109,7.2
Batch #7,115,14.95
Batch #7,122,15.7
Batch #7,127,21.34
Batch #7,140,30.35
Batch #7,143,36.4
Batch #7,157,62.0
Batch #7,164,84.6
Batch #7,171,109.4
Batch #7,185,152.0
Batch #7,192,163.6
Batch #7,199,187.0
Batch #7,206,213.8
Batch #7,214,238.4
Batch #7,220,277.0
Batch #7,227,346.0
Batch #8,57,0.599
Batch #8,62,0.56
Batch #8,71,1.15
Batch #8,76,1.63
Batch #8,92,5.28
Batch #8,99,8.14
Batch #8,106,9.91
Batch #8,113,15.0
Batch #8,120,20.6
Batch #8,127,27.8
Batch #8,134,32.2
Batch #8,141,48.4
Batch #8,150,67.5
Batch #8,155,94.2
Batch #8,162,126.2
Batch #8,169,148.5
Batch #8,177,221.0
Batch #8,190,256.0
Batch #8,197,288.5
Batch #8,204,305.0
Batch #9,59,0.67
Batch #9,66,1.03
Batch #9,70,1.4
Batch #9,80,2.68
Batch #9,87,4.27
Batch #9,96,7.64
Batch #9,101,10.02
Batch #9,108,14.0
Batch #9,112,18.6
Batch #9,124,25.1
Batch #9,129,30.2
Batch #9,136,40.2
Batch #9,143,44.7
Batch #9,150,66.1
Batch #9,157,87.6
Batch #9,164,70.0
Batch #9,172,136.4
Batch #9,179,150.0
Batch #9,182,175.1
Batch #9,192,198.5
Batch #9,199,231.5
Batch #9,206,231.0
